,Date,Open,High,Low,Close
0,2013-01-02,1.3204500000000001,1.32982,1.31555,1.31848
1,2013-01-03,1.31847,1.31891,1.30454,1.30475
2,2013-01-04,1.30476,1.30881,1.29962,1.30677
3,2013-01-07,1.30745,1.3118,1.30155,1.31152
4,2013-01-08,1.3115299999999999,1.31384,1.3054999999999999,1.30797
5,2013-01-09,1.30798,1.30945,1.30356,1.30629
6,2013-01-10,1.3063,1.32718,1.30374,1.32712
7,2013-01-11,1.32711,1.33643,1.32471,1.33415
8,2013-01-14,1.3360400000000001,1.34025,1.3335,1.33802
9,2013-01-15,1.33801,1.33922,1.32627,1.33039
10,2013-01-16,1.3304,1.33233,1.32554,1.32874
11,2013-01-17,1.32873,1.33862,1.32687,1.33753
12,2013-01-18,1.33752,1.33968,1.32791,1.3318699999999999
13,2013-01-21,1.3308499999999999,1.3330600000000001,1.32987,1.3311899999999999
14,2013-01-22,1.3312,1.33701,1.32657,1.33217
15,2013-01-23,1.33219,1.33531,1.32633,1.33166
16,2013-01-24,1.33165,1.3391199999999999,1.3284799999999999,1.33754
17,2013-01-25,1.33755,1.34771,1.3348200000000001,1.34582
18,2013-01-28,1.3464800000000001,1.34757,1.34233,1.34537
19,2013-01-29,1.34538,1.34957,1.34131,1.34904
20,2013-01-30,1.34903,1.3586,1.34808,1.35648
21,2013-01-31,1.35652,1.35924,1.354,1.35761
22,2013-02-01,1.35758,1.37093,1.35718,1.3639000000000001
23,2013-02-04,1.36498,1.36579,1.3504,1.35121
24,2013-02-05,1.35122,1.3596,1.34572,1.35816
25,2013-02-06,1.3581699999999999,1.35947,1.34921,1.35209
26,2013-02-07,1.3521,1.3576,1.33692,1.33962
27,2013-02-08,1.33958,1.3427799999999999,1.33522,1.3363399999999999
28,2013-02-11,1.3367499999999999,1.3426,1.33558,1.3404
29,2013-02-12,1.34048,1.34741,1.33627,1.3454
30,2013-02-13,1.34542,1.35185,1.34249,1.3449900000000001
31,2013-02-14,1.345,1.34543,1.33136,1.33612
32,2013-02-15,1.3361100000000001,1.3391899999999999,1.3305,1.33603
33,2013-02-18,1.33474,1.33778,1.33201,1.33497
34,2013-02-19,1.33498,1.33945,1.3327499999999999,1.3387
35,2013-02-20,1.33871,1.34325,1.32698,1.32825
36,2013-02-21,1.3283,1.32888,1.31599,1.31886
37,2013-02-22,1.31885,1.3244,1.3144,1.31903
38,2013-02-25,1.3215,1.33173,1.30466,1.30607
39,2013-02-26,1.30606,1.3121,1.30169,1.3060100000000001
40,2013-02-27,1.30602,1.31455,1.30401,1.3137400000000001
41,2013-02-28,1.31353,1.31603,1.30518,1.30552
42,2013-03-01,1.30553,1.30997,1.29653,1.30229
43,2013-03-04,1.30117,1.30297,1.29809,1.30244
44,2013-03-05,1.30243,1.30737,1.3008899999999999,1.30497
45,2013-03-06,1.30496,1.30691,1.29635,1.2965
46,2013-03-07,1.29651,1.3117,1.29641,1.31057
47,2013-03-08,1.31056,1.31329,1.2953700000000001,1.30016
48,2013-03-11,1.29941,1.30522,1.2978,1.30445
49,2013-03-12,1.30444,1.3073000000000001,1.29898,1.3027
50,2013-03-13,1.30273,1.30634,1.2922,1.29589
51,2013-03-14,1.29593,1.30305,1.291,1.30011
52,2013-03-15,1.3001,1.31056,1.29981,1.30741
53,2013-03-18,1.29107,1.29938,1.28806,1.29569
54,2013-03-19,1.2957,1.29683,1.2842500000000001,1.28651
55,2013-03-20,1.2865199999999999,1.29769,1.2855400000000001,1.29414
56,2013-03-21,1.29413,1.29539,1.28784,1.28933
57,2013-03-22,1.28935,1.30087,1.28868,1.29877
58,2013-03-24,1.29661,1.2971300000000001,1.29602,1.29605
59,2013-03-25,1.29609,1.30468,1.28285,1.28474
60,2013-03-26,1.28477,1.28883,1.28269,1.2855400000000001
61,2013-03-27,1.28555,1.28655,1.27497,1.27767
62,2013-03-28,1.2777,1.28423,1.27539,1.28135
63,2013-03-29,1.28134,1.28354,1.27919,1.28167
64,2013-04-01,1.28044,1.28664,1.27699,1.28475
65,2013-04-02,1.28472,1.28763,1.28076,1.28185
66,2013-04-03,1.2818399999999999,1.2863,1.27885,1.28482
67,2013-04-04,1.2848,1.29474,1.27448,1.29343
68,2013-04-05,1.2934,1.30382,1.28993,1.29907
69,2013-04-08,1.29722,1.30363,1.29671,1.30073
70,2013-04-09,1.30071,1.31017,1.30037,1.30809
71,2013-04-10,1.30808,1.31204,1.30512,1.30683
72,2013-04-11,1.30684,1.31368,1.30424,1.30986
73,2013-04-12,1.30985,1.3125,1.30355,1.31095
74,2013-04-15,1.31141,1.31141,1.3020399999999999,1.30334
75,2013-04-16,1.30338,1.32001,1.30268,1.31752
76,2013-04-17,1.31753,1.31981,1.30002,1.30312
77,2013-04-18,1.30305,1.3094700000000001,1.30197,1.305
78,2013-04-19,1.30499,1.3127,1.30445,1.305
79,2013-04-22,1.30763,1.30823,1.30138,1.30649
