,Date,Open,High,Low,Close
0,2013-01-01 12:00:00,86.658,86.842,86.627,86.765
1,2013-01-02 00:00:00,86.765,87.321,86.535,87.031
2,2013-01-02 12:00:00,87.029,87.342,86.955,87.324
3,2013-01-03 00:00:00,87.324,87.349,86.878,86.897
4,2013-01-03 12:00:00,86.898,87.546,86.763,87.431
5,2013-01-04 00:00:00,87.431,88.329,87.399,88.246
6,2013-01-04 12:00:00,88.249,88.397,87.598,88.14
7,2013-01-07 00:00:00,88.322,88.322,87.621,87.874
8,2013-01-07 12:00:00,87.877,87.955,87.351,87.456
9,2013-01-08 00:00:00,87.457,87.788,87.236,87.449
10,2013-01-08 12:00:00,87.45,87.584,86.823,86.841
11,2013-01-09 00:00:00,86.843,87.729,86.824,87.467
12,2013-01-09 12:00:00,87.468,88.065,87.394,88.034
13,2013-01-10 00:00:00,88.03,88.3,87.964,88.09
14,2013-01-10 12:00:00,88.092,89.03,87.986,88.923
15,2013-01-11 00:00:00,88.925,89.339,88.767,88.95
16,2013-01-11 12:00:00,88.95,89.435,88.734,89.176
17,2013-01-14 00:00:00,89.487,89.638,89.213,89.263
18,2013-01-14 12:00:00,89.265,89.567,89.078,89.476
19,2013-01-15 00:00:00,89.474,89.623,88.633,88.798
20,2013-01-15 12:00:00,88.802,88.932,88.292,88.819
21,2013-01-16 00:00:00,88.818,88.849,87.79,88.214
22,2013-01-16 12:00:00,88.211,88.67,87.966,88.568
23,2013-01-17 00:00:00,88.567,89.387,88.129,89.323
24,2013-01-17 12:00:00,89.324,90.105,89.221,89.953
25,2013-01-18 00:00:00,89.952,90.182,89.632,89.851
26,2013-01-18 12:00:00,89.853,90.105,89.739,90.083
27,2013-01-21 00:00:00,90.148,90.228,89.336,89.531
28,2013-01-21 12:00:00,89.531,89.884,89.439,89.813
29,2013-01-22 00:00:00,89.814,90.118,88.364,88.724
30,2013-01-22 12:00:00,88.727,88.982,88.509,88.752
31,2013-01-23 00:00:00,88.751,88.789,88.056,88.288
32,2013-01-23 12:00:00,88.29,88.725,88.249,88.538
33,2013-01-24 00:00:00,88.535,89.689,88.416,89.552
34,2013-01-24 12:00:00,89.555,90.531,89.449,90.42
35,2013-01-25 00:00:00,90.422,90.908,90.285,90.722
36,2013-01-25 12:00:00,90.718,91.192,90.67,90.877
37,2013-01-28 00:00:00,91.059,91.248,90.563,90.682
38,2013-01-28 12:00:00,90.682,91.087,90.559,90.652
39,2013-01-29 00:00:00,90.648,91.008,90.397,90.455
40,2013-01-29 12:00:00,90.455,90.812,90.324,90.753
41,2013-01-30 00:00:00,90.755,91.401,90.712,91.297
42,2013-01-30 12:00:00,91.297,91.382,90.849,91.066
43,2013-01-31 00:00:00,91.065,91.143,90.742,91.028
44,2013-01-31 12:00:00,91.025,91.797,90.908,91.733
45,2013-02-01 00:00:00,91.732,92.286,91.613,92.183
46,2013-02-01 12:00:00,92.181,92.952,91.783,92.789
47,2013-02-04 00:00:00,92.83,93.178,92.49,92.868
48,2013-02-04 12:00:00,92.867,92.951,91.976,92.095
49,2013-02-05 00:00:00,92.092,93.039,92.071,92.986
50,2013-02-05 12:00:00,92.985,93.777,92.939,93.709
